"district","race"
"PUBLIC SERVICE COMMISSIONER DISTRICT 1","PUBLIC SERVICE COMMISSIONER, DISTRICT 1"
"PUBLIC SERVICE COMMISSIONER DISTRICT 5","PUBLIC SERVICE COMMISSIONER, DISTRICT 5"
"SUPREME COURT JUSTICE","SUPREME COURT JUSTICE #4"
"JUDICIAL DISTRICT 1","DISTRICT COURT JUDGE DISTRICT 1, DEPT 3"
"JUDICIAL DISTRICT 4","DISTRICT COURT JUDGE DISTRICT 4, DEPT 5"
"JUDICIAL DISTRICT 7","DISTRICT COURT JUDGE DISTRICT 7, DEPT 2"
"JUDICIAL DISTRICT 8","DISTRICT COURT JUDGE DISTRICT 8, DEPT 4"
"JUDICIAL DISTRICT 13","DISTRICT COURT JUDGE DISTRICT 13, DEPT 4"
"JUDICIAL DISTRICT 13","DISTRICT COURT JUDGE DISTRICT 13, DEPT 5"
"JUDICIAL DISTRICT 13","DISTRICT COURT JUDGE DISTRICT 13, DEPT 9"
"JUDICIAL DISTRICT 13","DISTRICT COURT JUDGE DISTRICT 13, DEPT 10"
"JUDICIAL DISTRICT 18","DISTRICT COURT JUDGE DISTRICT 18, DEPT 2"
"JUDICIAL DISTRICT 20","DISTRICT COURT JUDGE DISTRICT 20, DEPT 1"
"JUDICIAL DISTRICT 20","DISTRICT COURT JUDGE DISTRICT 20, DEPT 2 UNEXPIRED"
"JUDICIAL DISTRICT 21","DISTRICT COURT JUDGE DISTRICT 21, DEPT 2"
"SENATE DISTRICT 8","STATE SENATOR DISTRICT 8"
"SENATE DISTRICT 9","STATE SENATOR DISTRICT 9"
"SENATE DISTRICT 41","STATE SENATOR DISTRICT 41"
"SENATE DISTRICT 43","STATE SENATOR DISTRICT 43"
"SENATE DISTRICT 48","STATE SENATOR DISTRICT 48"
"SENATE DISTRICT 49","STATE SENATOR DISTRICT 49"
"SENATE DISTRICT 50","STATE SENATOR DISTRICT 50"
"HOUSE DISTRICT 11","STATE REPRESENTATIVE DISTRICT 11"
"HOUSE DISTRICT 16","STATE REPRESENTATIVE DISTRICT 16"
"HOUSE DISTRICT 18","STATE REPRESENTATIVE DISTRICT 18"
"HOUSE DISTRICT 27","STATE REPRESENTATIVE DISTRICT 27"
"HOUSE DISTRICT 28","STATE REPRESENTATIVE DISTRICT 28"
"HOUSE DISTRICT 29","STATE REPRESENTATIVE DISTRICT 29"
"HOUSE DISTRICT 31","STATE REPRESENTATIVE DISTRICT 31"
"HOUSE DISTRICT 32","STATE REPRESENTATIVE DISTRICT 32"
"HOUSE DISTRICT 34","STATE REPRESENTATIVE DISTRICT 34"
"HOUSE DISTRICT 35","STATE REPRESENTATIVE DISTRICT 35"
"HOUSE DISTRICT 38","STATE REPRESENTATIVE DISTRICT 38"
"HOUSE DISTRICT 41","STATE REPRESENTATIVE DISTRICT 41"
"HOUSE DISTRICT 56","STATE REPRESENTATIVE DISTRICT 56"
"HOUSE DISTRICT 69","STATE REPRESENTATIVE DISTRICT 69"
"HOUSE DISTRICT 70","STATE REPRESENTATIVE DISTRICT 70"
"HOUSE DISTRICT 72","STATE REPRESENTATIVE DISTRICT 72"
"HOUSE DISTRICT 73","STATE REPRESENTATIVE DISTRICT 73"
"HOUSE DISTRICT 74","STATE REPRESENTATIVE DISTRICT 74"
"HOUSE DISTRICT 76","STATE REPRESENTATIVE DISTRICT 76"
"HOUSE DISTRICT 79","STATE REPRESENTATIVE DISTRICT 79"
"HOUSE DISTRICT 90","STATE REPRESENTATIVE DISTRICT 90"
"HOUSE DISTRICT 92","STATE REPRESENTATIVE DISTRICT 92"
"HOUSE DISTRICT 95","STATE REPRESENTATIVE DISTRICT 95"
"HOUSE DISTRICT 96","STATE REPRESENTATIVE DISTRICT 96"
"HOUSE DISTRICT 97","STATE REPRESENTATIVE DISTRICT 97"
"HOUSE DISTRICT 98","STATE REPRESENTATIVE DISTRICT 98"
