name,cap_tracker_2025_link,display_name
STEVE GIST,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Steve-Gist/
ALANAH GRIFFITH,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Alanah-Griffith/
ALEXANDER CLARK,
ALEXANDER COLAFRANCESCO,
AMY REGIER,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Amy-Regier/
ANJA WOOKEYHUFFMAN,
ANNE ROSS,
ANNE WOODLAND,
ANTHONY NICASTRO,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Anthony-Nicastro/
BECKY BEARD,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Becky-Beard/
BECKY EDWARDS,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Becky-Edwards/
BETH SIBERT,
BILL HODGES,
BILL MERCER,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Bill-Mercer/
BOB CARTER,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Bob-Carter/
BOB PHALEN,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Bob-Phalen/
BRAD BARKER,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Brad-Barker/
BRAD DAVIS,
BRANDON LER,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Brandon-Ler/
BRAXTON MITCHELL,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Braxton-Mitchell/
BRIAN CLOSE,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Brian-Close/
C B PEARSON,
CADE SCATOLINI,
CALEB HINKLE,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Caleb-Hinkle/
CARL ANDERSON,
CARL GLIMM,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Carl-Glimm/
CAROLE BOERNER,
CATHY MITCHELL,
CHARLES A HEADLEY,
CHRIS FRIEDEL,
CHRISTIAN DANIEL TAKESENEMY,
CHRISTOPHER POPE,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Chris-Pope/
CHRISTOPHER ST JEAN,
COLTON LITTLE,
CONNIE KEOGH,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Connie-Keogh/
CORA NEUMANN,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Cora-Neumann/
COURTENAY SPRUNGER,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Courtenay-Sprunger/
CURTIS J COCHRAN,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Curtis-Cochran/
CURTIS SCHOMER,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Curtis-Schomer/
DAKOTA V ADAMS,
DANA  DARLINGTON,
DARLEAN NEWMAN,
DAVE FERN,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Dave-Fern/
DAVE KESLER III,
DAVID ARENDS,
DAVID AUSTIN,
DAVID BEDEY,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/David-Bedey/
DAVID WILLIAMS,
DEBO POWERS,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Debo-Powers/
DEMETRI JOSLIN,
